,Latitude,Longitude,Region,Type,Collection Date,d2H,d18O,D17O,d2H_Analytical_SD,d18O_Analytical_SD
Country Code,32.6,-116.2867819,North Mexico,Tap,1/1/01,-82.45400238,-9.80700016,,,
Country Code,32.6,-116.0367819,North Mexico,Tap,1/1/01,-86.25499725,-10.36100006,,,
Country Code,32.6,-115.7867819,North Mexico,Tap,1/1/01,-90.31099701,-10.96800041,,,
Country Code,32.6,-115.5367819,North Mexico,Tap,1/1/01,-94.50299835,-11.61900043,,,
Country Code,32.6,-115.2867819,North Mexico,Tap,1/1/01,-95.79000092,-11.84300041,,,
Country Code,32.6,-115.0367819,North Mexico,Tap,1/1/01,-95.97499847,-11.92800045,,,
Country Code,32.6,-114.7867819,North Mexico,Tap,1/1/01,-95.68299866,-11.95400047,,,
Country Code,32.35,-117.0367819,North Mexico,Tap,1/1/01,-67.57099915,-8.211999893,,,
Country Code,32.35,-116.7867819,North Mexico,Tap,1/1/01,-72.18000031,-8.652999878,,,
Country Code,32.35,-116.5367819,North Mexico,Tap,1/1/01,-77.72899628,-9.230999947,,,
Country Code,32.35,-116.2867819,North Mexico,Tap,1/1/01,-81.68199921,-9.73900032,,,
Country Code,32.35,-116.0367819,North Mexico,Tap,1/1/01,-85.35399628,-10.25800037,,,
Country Code,32.35,-115.7867819,North Mexico,Tap,1/1/01,-88.93399811,-10.78600025,,,
Country Code,32.35,-115.5367819,North Mexico,Tap,1/1/01,-92.02600098,-11.26299953,,,
Country Code,32.35,-115.2867819,North Mexico,Tap,1/1/01,-93.96299744,-11.5880003,,,
Country Code,32.35,-115.0367819,North Mexico,Tap,1/1/01,-95.02300262,-11.81000042,,,
Country Code,32.35,-114.7867819,North Mexico,Tap,1/1/01,-95.23799896,-11.91800022,,,
Country Code,32.35,-114.5367819,North Mexico,Tap,1/1/01,-92.54699707,-11.52900028,,,
Country Code,32.1,-116.7867819,North Mexico,Tap,1/1/01,-72.27600098,-8.704999924,,,
Country Code,32.1,-116.5367819,North Mexico,Tap,1/1/01,-76.26300049,-9.140000343,,,
Country Code,32.1,-116.2867819,North Mexico,Tap,1/1/01,-79.96900177,-9.590000153,,,
Country Code,32.1,-116.0367819,North Mexico,Tap,1/1/01,-83.32900238,-10.0369997,,,
Country Code,32.1,-115.7867819,North Mexico,Tap,1/1/01,-86.34899902,-10.46399975,,,
Country Code,32.1,-115.5367819,North Mexico,Tap,1/1/01,-88.84400177,-10.83699989,,,
Country Code,32.1,-115.2867819,North Mexico,Tap,1/1/01,-90.58200073,-11.11900043,,,
Country Code,32.1,-115.0367819,North Mexico,Tap,1/1/01,-91.44799805,-11.28899956,,,
Country Code,32.1,-114.7867819,North Mexico,Tap,1/1/01,-91.1969986,-11.29800034,,,
Country Code,32.1,-114.5367819,North Mexico,Tap,1/1/01,-89.58599854,-11.09500027,,,
Country Code,32.1,-114.2867819,North Mexico,Tap,1/1/01,-87.10500336,-10.76299953,,,
Country Code,32.1,-114.0367819,North Mexico,Tap,1/1/01,-84.34200287,-10.40100002,,,
Country Code,32.1,-113.7867819,North Mexico,Tap,1/1/01,-81.56999969,-10.05099964,,,
Country Code,32.1,-113.5367819,North Mexico,Tap,1/1/01,-78.89199829,-9.725000381,,,
Country Code,31.85,-116.5367819,North Mexico,Tap,1/1/01,-74.93299866,-9.043999672,,,
Country Code,31.85,-116.2867819,North Mexico,Tap,1/1/01,-78.02200317,-9.409999847,,,
Country Code,31.85,-116.0367819,North Mexico,Tap,1/1/01,-80.8789978,-9.772999763,,,
Country Code,31.85,-115.7867819,North Mexico,Tap,1/1/01,-83.38600159,-10.11200047,,,
Country Code,31.85,-115.5367819,North Mexico,Tap,1/1/01,-85.40799713,-10.40200043,,,
Country Code,31.85,-115.2867819,North Mexico,Tap,1/1/01,-86.80200195,-10.61800003,,,
Country Code,31.85,-115.0367819,North Mexico,Tap,1/1/01,-87.43599701,-10.73700047,,,
Country Code,31.85,-114.7867819,North Mexico,Tap,1/1/01,-87.1969986,-10.73600006,,,
Country Code,31.85,-114.5367819,North Mexico,Tap,1/1/01,-86.0759964,-10.60999966,,,
Country Code,31.85,-114.2867819,North Mexico,Tap,1/1/01,-84.27500153,-10.38799953,,,
Country Code,31.85,-114.0367819,North Mexico,Tap,1/1/01,-82.08499908,-10.11699963,,,
Country Code,31.85,-113.7867819,North Mexico,Tap,1/1/01,-79.73400116,-9.833000183,,,
Country Code,31.85,-113.5367819,North Mexico,Tap,1/1/01,-77.35900116,-9.553999901,,,
Country Code,31.85,-113.2867819,North Mexico,Tap,1/1/01,-75.03700256,-9.289999962,,,
Country Code,31.85,-113.0367819,North Mexico,Tap,1/1/01,-72.81099701,-9.046999931,,,
Country Code,31.85,-112.7867819,North Mexico,Tap,1/1/01,-70.70400238,-8.824999809,,,
Country Code,31.6,-116.5367819,North Mexico,Tap,1/1/01,-73.46800232,-8.925000191,,,
Country Code,31.6,-116.2867819,North Mexico,Tap,1/1/01,-75.98899841,-9.215999603,,,
Country Code,31.6,-116.0367819,North Mexico,Tap,1/1/01,-78.33499908,-9.503000259,,,
Country Code,31.6,-115.7867819,North Mexico,Tap,1/1/01,-80.3769989,-9.767000198,,,
Country Code,31.6,-115.5367819,North Mexico,Tap,1/1/01,-82.00099945,-9.989999771,,,
Country Code,31.6,-115.2867819,North Mexico,Tap,1/1/01,-83.09899902,-10.15299988,,,
Country Code,31.6,-115.0367819,North Mexico,Tap,1/1/01,-83.58200073,-10.23999977,,,
Country Code,31.6,-114.2867819,North Mexico,Tap,1/1/01,-81.21099854,-10.0010004,,,
Country Code,31.6,-114.0367819,North Mexico,Tap,1/1/01,-79.47499847,-9.800000191,,,
Country Code,31.6,-113.7867819,North Mexico,Tap,1/1/01,-77.51999664,-9.574999809,,,
Country Code,31.6,-113.5367819,North Mexico,Tap,1/1/01,-75.46800232,-9.343999863,,,
Country Code,31.6,-113.2867819,North Mexico,Tap,1/1/01,-73.40000153,-9.116999626,,,
Country Code,31.6,-113.0367819,North Mexico,Tap,1/1/01,-71.37200165,-8.902000427,,,
Country Code,31.6,-112.7867819,North Mexico,Tap,1/1/01,-69.41799927,-8.701000214,,,
Country Code,31.6,-112.5367819,North Mexico,Tap,1/1/01,-67.56099701,-8.517000198,,,
Country Code,31.6,-112.2867819,North Mexico,Tap,1/1/01,-65.81600189,-8.350999832,,,
Country Code,31.6,-112.0367819,North Mexico,Tap,1/1/01,-64.19599915,-8.203000069,,,
Country Code,31.6,-108.0367819,North Mexico,Tap,1/1/01,-60.39699936,-7.981999874,,,
Country Code,31.6,-107.7867819,North Mexico,Tap,1/1/01,-61.23500061,-8.079000473,,,
Country Code,31.6,-107.5367819,North Mexico,Tap,1/1/01,-62.18899918,-8.19299984,,,
Country Code,31.6,-107.2867819,North Mexico,Tap,1/1/01,-63.26800156,-8.326999664,,,
Country Code,31.6,-107.0367819,North Mexico,Tap,1/1/01,-64.47399902,-8.482000351,,,
Country Code,31.6,-106.7867819,North Mexico,Tap,1/1/01,-65.77899933,-8.656000137,,,
Country Code,31.6,-106.5367819,North Mexico,Tap,1/1/01,-66.84700012,-8.802000046,,,
Country Code,31.35,-116.2867819,North Mexico,Tap,1/1/01,-73.93299866,-9.019000053,,,
Country Code,31.35,-116.0367819,North Mexico,Tap,1/1/01,-75.83300018,-9.243000031,,,
Country Code,31.35,-115.7867819,North Mexico,Tap,1/1/01,-77.47699738,-9.44699955,,,
Country Code,31.35,-115.5367819,North Mexico,Tap,1/1/01,-78.77100372,-9.616999626,,,
Country Code,31.35,-115.2867819,North Mexico,Tap,1/1/01,-79.63500214,-9.739999771,,,
Country Code,31.35,-115.0367819,North Mexico,Tap,1/1/01,-80.00800323,-9.805999756,,,
Country Code,31.35,-113.5367819,North Mexico,Tap,1/1/01,-73.37599945,-9.116999626,,,
Country Code,31.35,-113.2867819,North Mexico,Tap,1/1/01,-71.55799866,-8.925999641,,,
Country Code,31.35,-113.0367819,North Mexico,Tap,1/1/01,-69.73699951,-8.73900032,,,
Country Code,31.35,-112.7867819,North Mexico,Tap,1/1/01,-67.9509964,-8.562000275,,,
Country Code,31.35,-112.5367819,North Mexico,Tap,1/1/01,-66.22899628,-8.395000458,,,
Country Code,31.35,-112.2867819,North Mexico,Tap,1/1/01,-64.59300232,-8.243000031,,,
Country Code,31.35,-112.0367819,North Mexico,Tap,1/1/01,-63.05899811,-8.105999947,,,
Country Code,31.35,-111.7867819,North Mexico,Tap,1/1/01,-61.63800049,-7.986999989,,,
Country Code,31.35,-111.5367819,North Mexico,Tap,1/1/01,-60.34500122,-7.889999866,,,
Country Code,31.35,-111.2867819,North Mexico,Tap,1/1/01,-59.1969986,-7.820000172,,,
Country Code,31.35,-108.0367819,North Mexico,Tap,1/1/01,-59.9129982,-7.940999985,,,
Country Code,31.35,-107.7867819,North Mexico,Tap,1/1/01,-60.71699905,-8.031999588,,,
Country Code,31.35,-107.5367819,North Mexico,Tap,1/1/01,-61.60300064,-8.13599968,,,
Country Code,31.35,-107.2867819,North Mexico,Tap,1/1/01,-62.55500031,-8.251999855,,,
Country Code,31.35,-107.0367819,North Mexico,Tap,1/1/01,-63.52700043,-8.375,,,
Country Code,31.35,-106.7867819,North Mexico,Tap,1/1/01,-64.38899994,-8.487999916,,,
Country Code,31.35,-106.5367819,North Mexico,Tap,1/1/01,-64.83100128,-8.552000046,,,
Country Code,31.35,-106.2867819,North Mexico,Tap,1/1/01,-64.53500366,-8.520000458,,,
Country Code,31.35,-106.0367819,North Mexico,Tap,1/1/01,-63.60699844,-8.413000107,,,
Country Code,31.1,-116.2867819,North Mexico,Tap,1/1/01,-71.91100311,-8.829000473,,,
Country Code,31.1,-116.0367819,North Mexico,Tap,1/1/01,-73.44100189,-9.003000259,,,
Country Code,31.1,-115.7867819,North Mexico,Tap,1/1/01,-74.7539978,-9.159999847,,,
Country Code,31.1,-115.5367819,North Mexico,Tap,1/1/01,-75.77899933,-9.288999557,,,
Country Code,31.1,-115.2867819,North Mexico,Tap,1/1/01,-76.45300293,-9.381999969,,,
Country Code,31.1,-115.0367819,North Mexico,Tap,1/1/01,-76.73699951,-9.430999756,,,
Country Code,31.1,-113.0367819,North Mexico,Tap,1/1/01,-67.98600006,-8.569000244,,,
Country Code,31.1,-112.7867819,North Mexico,Tap,1/1/01,-66.36699677,-8.413000107,,,
Country Code,31.1,-112.5367819,North Mexico,Tap,1/1/01,-64.78700256,-8.263999939,,,
Country Code,31.1,-112.2867819,North Mexico,Tap,1/1/01,-63.26900101,-8.126000404,,,
Country Code,31.1,-112.0367819,North Mexico,Tap,1/1/01,-61.83499908,-8,,,
Country Code,31.1,-111.7867819,North Mexico,Tap,1/1/01,-60.50099945,-7.889999866,,,
Country Code,31.1,-111.5367819,North Mexico,Tap,1/1/01,-59.2859993,-7.798999786,,,
Country Code,31.1,-111.2867819,North Mexico,Tap,1/1/01,-58.2120018,-7.729000092,,,
Country Code,31.1,-111.0367819,North Mexico,Tap,1/1/01,-57.32099915,-7.681000233,,,
Country Code,31.1,-110.7867819,North Mexico,Tap,1/1/01,-56.67699814,-7.630000114,,,
Country Code,31.1,-110.5367819,North Mexico,Tap,1/1/01,-56.28300095,-7.579999924,,,
Country Code,31.1,-110.2867819,North Mexico,Tap,1/1/01,-56.07899857,-7.551000118,,,
Country Code,31.1,-110.0367819,North Mexico,Tap,1/1/01,-56.02500153,-7.540999889,,,
Country Code,31.1,-109.7867819,North Mexico,Tap,1/1/01,-56.09899902,-7.546999931,,,
Country Code,31.1,-109.5367819,North Mexico,Tap,1/1/01,-56.2840004,-7.565999985,,,
Country Code,31.1,-109.2867819,North Mexico,Tap,1/1/01,-56.60400009,-7.59800005,,,
Country Code,31.1,-109.0367819,North Mexico,Tap,1/1/01,-56.98099899,-7.638000011,,,
Country Code,31.1,-108.7867819,North Mexico,Tap,1/1/01,-57.40499878,-7.686999798,,,
Country Code,31.1,-108.5367819,North Mexico,Tap,1/1/01,-57.91699982,-7.743999958,,,
Country Code,31.1,-108.2867819,North Mexico,Tap,1/1/01,-58.55899811,-7.809999943,,,
Country Code,31.1,-108.0367819,North Mexico,Tap,1/1/01,-59.27700043,-7.882999897,,,
Country Code,31.1,-107.7867819,North Mexico,Tap,1/1/01,-60.01100159,-7.965000153,,,
Country Code,31.1,-107.5367819,North Mexico,Tap,1/1/01,-60.7820015,-8.05300045,,,
Country Code,31.1,-107.2867819,North Mexico,Tap,1/1/01,-61.55699921,-8.145000458,,,
Country Code,31.1,-107.0367819,North Mexico,Tap,1/1/01,-62.27299881,-8.232999802,,,
Country Code,31.1,-106.7867819,North Mexico,Tap,1/1/01,-62.81100082,-8.302000046,,,
Country Code,31.1,-106.5367819,North Mexico,Tap,1/1/01,-63.0320015,-8.335000038,,,
Country Code,31.1,-106.2867819,North Mexico,Tap,1/1/01,-62.85900116,-8.315999985,,,
Country Code,31.1,-106.0367819,North Mexico,Tap,1/1/01,-62.24399948,-8.25,,,
Country Code,31.1,-105.7867819,North Mexico,Tap,1/1/01,-61.38600159,-8.159000397,,,
Country Code,30.85,-116.0367819,North Mexico,Tap,1/1/01,-71.19300079,-8.786000252,,,
Country Code,30.85,-115.7867819,North Mexico,Tap,1/1/01,-72.23699951,-8.906000137,,,
Country Code,30.85,-115.5367819,North Mexico,Tap,1/1/01,-73.04100037,-9.00399971,,,
Country Code,30.85,-115.2867819,North Mexico,Tap,1/1/01,-73.56099701,-9.072999954,,,
Country Code,30.85,-115.0367819,North Mexico,Tap,1/1/01,-73.76699829,-9.109000206,,,
Country Code,30.85,-114.7867819,North Mexico,Tap,1/1/01,-73.64600372,-9.109000206,,,
Country Code,30.85,-113.0367819,North Mexico,Tap,1/1/01,-66.18399811,-8.397000313,,,
Country Code,30.85,-112.7867819,North Mexico,Tap,1/1/01,-64.72000122,-8.260000229,,,
Country Code,30.85,-112.5367819,North Mexico,Tap,1/1/01,-63.27600098,-8.126999855,,,
Country Code,30.85,-112.2867819,North Mexico,Tap,1/1/01,-61.87799835,-8.001999855,,,
Country Code,30.85,-112.0367819,North Mexico,Tap,1/1/01,-60.54999924,-7.887000084,,,
Country Code,30.85,-111.7867819,North Mexico,Tap,1/1/01,-59.31399918,-7.78399992,,,
Country Code,30.85,-111.5367819,North Mexico,Tap,1/1/01,-58.19400024,-7.697000027,,,
Country Code,30.85,-111.2867819,North Mexico,Tap,1/1/01,-57.2179985,-7.626999855,,,
Country Code,30.85,-111.0367819,North Mexico,Tap,1/1/01,-56.41999817,-7.571000099,,,
Country Code,30.85,-110.7867819,North Mexico,Tap,1/1/01,-55.83499908,-7.52699995,,,
Country Code,30.85,-110.5367819,North Mexico,Tap,1/1/01,-55.4659996,-7.493000031,,,
Country Code,30.85,-110.2867819,North Mexico,Tap,1/1/01,-55.28499985,-7.474999905,,,
Country Code,30.85,-110.0367819,North Mexico,Tap,1/1/01,-55.25899887,-7.472000122,,,
Country Code,30.85,-109.7867819,North Mexico,Tap,1/1/01,-55.36299896,-7.482999802,,,
Country Code,30.85,-109.5367819,North Mexico,Tap,1/1/01,-55.57899857,-7.506000042,,,
Country Code,30.85,-109.2867819,North Mexico,Tap,1/1/01,-55.88100052,-7.540999889,,,
Country Code,30.85,-109.0367819,North Mexico,Tap,1/1/01,-56.27999878,-7.583000183,,,
Country Code,30.85,-108.7867819,North Mexico,Tap,1/1/01,-56.72000122,-7.631999969,,,
Country Code,30.85,-108.5367819,North Mexico,Tap,1/1/01,-57.25799942,-7.688000202,,,
Country Code,30.85,-108.2867819,North Mexico,Tap,1/1/01,-57.875,-7.75,,,
Country Code,30.85,-108.0367819,North Mexico,Tap,1/1/01,-58.54100037,-7.816999912,,,
Country Code,30.85,-107.7867819,North Mexico,Tap,1/1/01,-59.19400024,-7.887000084,,,
Country Code,30.85,-107.5367819,North Mexico,Tap,1/1/01,-59.84700012,-7.960000038,,,
Country Code,30.85,-107.2867819,North Mexico,Tap,1/1/01,-60.4620018,-8.029000282,,,
Country Code,30.85,-107.0367819,North Mexico,Tap,1/1/01,-60.98300171,-8.090999603,,,
Country Code,30.85,-106.7867819,North Mexico,Tap,1/1/01,-61.33599854,-8.135000229,,,
Country Code,30.85,-106.5367819,North Mexico,Tap,1/1/01,-61.51300049,-8.152999878,,,
Country Code,30.85,-106.2867819,North Mexico,Tap,1/1/01,-61.34000015,-8.138999939,,,
Country Code,30.85,-106.0367819,North Mexico,Tap,1/1/01,-60.88299942,-8.093000412,,,
Country Code,30.85,-105.7867819,North Mexico,Tap,1/1/01,-60.22399902,-8.027000427,,,
Country Code,30.85,-105.5367819,North Mexico,Tap,1/1/01,-59.44300079,-7.949999809,,,
Country Code,30.6,-115.7867819,North Mexico,Tap,1/1/01,-69.93199921,-8.68500042,,,
Country Code,30.6,-115.5367819,North Mexico,Tap,1/1/01,-70.55599976,-8.758000374,,,
Country Code,30.6,-115.2867819,North Mexico,Tap,1/1/01,-70.9469986,-8.809000015,,,
Country Code,30.6,-115.0367819,North Mexico,Tap,1/1/01,-71.08300018,-8.833999634,,,
Country Code,30.6,-114.7867819,North Mexico,Tap,1/1/01,-70.95400238,-8.831999779,,,
Country Code,30.6,-112.7867819,North Mexico,Tap,1/1/01,-63.0530014,-8.107999802,,,
Country Code,30.6,-112.5367819,North Mexico,Tap,1/1/01,-61.73099899,-7.987999916,,,
Country Code,30.6,-112.2867819,North Mexico,Tap,1/1/01,-60.44400024,-7.874000072,,,
Country Code,30.6,-112.0367819,North Mexico,Tap,1/1/01,-59.2179985,-7.767000198,,,
Country Code,30.6,-111.7867819,North Mexico,Tap,1/1/01,-58.07899857,-7.671999931,,,
Country Code,30.6,-111.5367819,North Mexico,Tap,1/1/01,-57.05400085,-7.589000225,,,
Country Code,30.6,-111.2867819,North Mexico,Tap,1/1/01,-56.16899872,-7.519999981,,,
Country Code,30.6,-111.0367819,North Mexico,Tap,1/1/01,-55.45500183,-7.467000008,,,
Country Code,30.6,-110.7867819,North Mexico,Tap,1/1/01,-54.93000031,-7.427000046,,,
Country Code,30.6,-110.5367819,North Mexico,Tap,1/1/01,-54.59899902,-7.40199995,,,
Country Code,30.6,-110.2867819,North Mexico,Tap,1/1/01,-54.4469986,-7.392000198,,,
Country Code,30.6,-110.0367819,North Mexico,Tap,1/1/01,-54.45000076,-7.395999908,,,
Country Code,30.6,-109.7867819,North Mexico,Tap,1/1/01,-54.58499908,-7.413000107,,,
Country Code,30.6,-109.5367819,North Mexico,Tap,1/1/01,-54.81700134,-7.440999985,,,
Country Code,30.6,-109.2867819,North Mexico,Tap,1/1/01,-55.1570015,-7.478000164,,,
Country Code,30.6,-109.0367819,North Mexico,Tap,1/1/01,-55.55899811,-7.522999763,,,
Country Code,30.6,-108.7867819,North Mexico,Tap,1/1/01,-56.02199936,-7.572999954,,,
Country Code,30.6,-108.5367819,North Mexico,Tap,1/1/01,-56.5530014,-7.627999783,,,
Country Code,30.6,-108.2867819,North Mexico,Tap,1/1/01,-57.14599991,-7.68599987,,,
Country Code,30.6,-108.0367819,North Mexico,Tap,1/1/01,-57.72800064,-7.747000217,,,
Country Code,30.6,-107.7867819,North Mexico,Tap,1/1/01,-58.31999969,-7.808000088,,,
Country Code,30.6,-107.5367819,North Mexico,Tap,1/1/01,-58.875,-7.867000103,,,
Country Code,30.6,-107.2867819,North Mexico,Tap,1/1/01,-59.38700104,-7.920000076,,,
Country Code,30.6,-107.0367819,North Mexico,Tap,1/1/01,-59.77799988,-7.964000225,,,
Country Code,30.6,-106.7867819,North Mexico,Tap,1/1/01,-60.10599899,-7.993999958,,,
Country Code,30.6,-106.5367819,North Mexico,Tap,1/1/01,-60.15200043,-8.001999855,,,
Country Code,30.6,-106.2867819,North Mexico,Tap,1/1/01,-59.98199844,-7.987999916,,,
Country Code,30.6,-106.0367819,North Mexico,Tap,1/1/01,-59.62200165,-7.952000141,,,
Country Code,30.6,-105.7867819,North Mexico,Tap,1/1/01,-59.08399963,-7.900000095,,,
Country Code,30.6,-105.5367819,North Mexico,Tap,1/1/01,-58.43199921,-7.837999821,,,
Country Code,30.6,-105.2867819,North Mexico,Tap,1/1/01,-57.7140007,-7.770999908,,,
Country Code,30.6,-105.0367819,North Mexico,Tap,1/1/01,-56.97100067,-7.705999851,,,
Country Code,30.35,-115.7867819,North Mexico,Tap,1/1/01,-67.83699799,-8.494000435,,,
Country Code,30.35,-115.5367819,North Mexico,Tap,1/1/01,-68.31300354,-8.546999931,,,
Country Code,30.35,-115.2867819,North Mexico,Tap,1/1/01,-68.59600067,-8.583999634,,,
Country Code,30.35,-115.0367819,North Mexico,Tap,1/1/01,-68.66799927,-8.600000381,,,
Country Code,30.35,-114.7867819,North Mexico,Tap,1/1/01,-68.52200317,-8.593999863,,,
Country Code,30.35,-112.7867819,North Mexico,Tap,1/1/01,-61.39599991,-7.958000183,,,
Country Code,30.35,-112.5367819,North Mexico,Tap,1/1/01,-60.1780014,-7.84800005,,,
Country Code,30.35,-112.2867819,North Mexico,Tap,1/1/01,-58.98600006,-7.742000103,,,
Country Code,30.35,-112.0367819,North Mexico,Tap,1/1/01,-57.84799957,-7.643000126,,,
Country Code,30.35,-111.7867819,North Mexico,Tap,1/1/01,-56.79399872,-7.552000046,,,
Country Code,30.35,-111.5367819,North Mexico,Tap,1/1/01,-55.84999847,-7.47300005,,,
Country Code,30.35,-111.2867819,North Mexico,Tap,1/1/01,-55.04399872,-7.407999992,,,
Country Code,30.35,-111.0367819,North Mexico,Tap,1/1/01,-54.40100098,-7.356999874,,,
Country Code,30.35,-110.7867819,North Mexico,Tap,1/1/01,-53.93700027,-7.322999954,,,
Country Code,30.35,-110.5367819,North Mexico,Tap,1/1/01,-53.65399933,-7.303999901,,,
Country Code,30.35,-110.2867819,North Mexico,Tap,1/1/01,-53.54299927,-7.300000191,,,
Country Code,30.35,-110.0367819,North Mexico,Tap,1/1/01,-53.58499908,-7.31099987,,,
Country Code,30.35,-109.7867819,North Mexico,Tap,1/1/01,-53.74200058,-7.335000038,,,
Country Code,30.35,-109.5367819,North Mexico,Tap,1/1/01,-54.02600098,-7.368999958,,,
Country Code,30.35,-109.2867819,North Mexico,Tap,1/1/01,-54.39699936,-7.409999847,,,
Country Code,30.35,-109.0367819,North Mexico,Tap,1/1/01,-54.80899811,-7.458000183,,,
Country Code,30.35,-108.7867819,North Mexico,Tap,1/1/01,-55.30699921,-7.510000229,,,
Country Code,30.35,-108.5367819,North Mexico,Tap,1/1/01,-55.86299896,-7.565999985,,,
Country Code,30.35,-108.2867819,North Mexico,Tap,1/1/01,-56.4090004,-7.622000217,,,
Country Code,30.35,-108.0367819,North Mexico,Tap,1/1/01,-56.96699905,-7.677999973,,,
Country Code,30.35,-107.7867819,North Mexico,Tap,1/1/01,-57.49200058,-7.731999874,,,
Country Code,30.35,-107.5367819,North Mexico,Tap,1/1/01,-57.97299957,-7.782000065,,,
Country Code,30.35,-107.2867819,North Mexico,Tap,1/1/01,-58.39300156,-7.822999954,,,
Country Code,30.35,-107.0367819,North Mexico,Tap,1/1/01,-58.77999878,-7.857999802,,,
Country Code,30.35,-106.7867819,North Mexico,Tap,1/1/01,-58.97200012,-7.875999928,,,
Country Code,30.35,-106.5367819,North Mexico,Tap,1/1/01,-58.97499847,-7.877999783,,,
Country Code,30.35,-106.2867819,North Mexico,Tap,1/1/01,-58.80599976,-7.861000061,,,
Country Code,30.35,-106.0367819,North Mexico,Tap,1/1/01,-58.48899841,-7.829999924,,,
Country Code,30.35,-105.7867819,North Mexico,Tap,1/1/01,-58.02000046,-7.782999992,,,
Country Code,30.35,-105.5367819,North Mexico,Tap,1/1/01,-57.44900131,-7.729000092,,,
Country Code,30.35,-105.2867819,North Mexico,Tap,1/1/01,-56.81499863,-7.670000076,,,
Country Code,30.35,-105.0367819,North Mexico,Tap,1/1/01,-56.15000153,-7.611999989,,,
Country Code,30.1,-115.5367819,North Mexico,Tap,1/1/01,-66.29799652,-8.368000031,,,
Country Code,30.1,-115.2867819,North Mexico,Tap,1/1/01,-66.48899841,-8.392000198,,,
Country Code,30.1,-115.0367819,North Mexico,Tap,1/1/01,-66.5039978,-8.401000023,,,
Country Code,30.1,-114.7867819,North Mexico,Tap,1/1/01,-66.33699799,-8.392000198,,,
Country Code,30.1,-112.5367819,North Mexico,Tap,1/1/01,-58.63499832,-7.709000111,,,
Country Code,30.1,-112.2867819,North Mexico,Tap,1/1/01,-57.51599884,-7.607999802,,,
Country Code,30.1,-112.0367819,North Mexico,Tap,1/1/01,-56.44599915,-7.512000084,,,
Country Code,30.1,-111.7867819,North Mexico,Tap,1/1/01,-55.45600128,-7.423999786,,,
Country Code,30.1,-111.5367819,North Mexico,Tap,1/1/01,-54.57400131,-7.347000122,,,
Country Code,30.1,-111.2867819,North Mexico,Tap,1/1/01,-53.83100128,-7.28399992,,,
Country Code,30.1,-111.0367819,North Mexico,Tap,1/1/01,-53.24900055,-7.236999989,,,
Country Code,30.1,-110.7867819,North Mexico,Tap,1/1/01,-52.84199905,-7.206999779,,,
Country Code,30.1,-110.5367819,North Mexico,Tap,1/1/01,-52.61500168,-7.193999767,,,
Country Code,30.1,-110.2867819,North Mexico,Tap,1/1/01,-52.55799866,-7.197999954,,,
Country Code,30.1,-110.0367819,North Mexico,Tap,1/1/01,-52.65599823,-7.217000008,,,
Country Code,30.1,-109.7867819,North Mexico,Tap,1/1/01,-52.86199951,-7.248000145,,,
Country Code,30.1,-109.5367819,North Mexico,Tap,1/1/01,-53.19800186,-7.289000034,,,
Country Code,30.1,-109.2867819,North Mexico,Tap,1/1/01,-53.59000015,-7.337999821,,,
Country Code,30.1,-109.0367819,North Mexico,Tap,1/1/01,-54.06800079,-7.390999794,,,
Country Code,30.1,-108.7867819,North Mexico,Tap,1/1/01,-54.56499863,-7.446000099,,,
Country Code,30.1,-108.5367819,North Mexico,Tap,1/1/01,-55.10499954,-7.501999855,,,
Country Code,30.1,-108.2867819,North Mexico,Tap,1/1/01,-55.65100098,-7.559000015,,,
Country Code,30.1,-108.0367819,North Mexico,Tap,1/1/01,-56.23699951,-7.613999844,,,
Country Code,30.1,-107.7867819,North Mexico,Tap,1/1/01,-56.72499847,-7.664000034,,,
Country Code,30.1,-107.5367819,North Mexico,Tap,1/1/01,-57.27299881,-7.708000183,,,
Country Code,30.1,-107.2867819,North Mexico,Tap,1/1/01,-57.62099838,-7.743999958,,,
Country Code,30.1,-107.0367819,North Mexico,Tap,1/1/01,-57.86199951,-7.769000053,,,
Country Code,30.1,-106.7867819,North Mexico,Tap,1/1/01,-58.00099945,-7.78000021,,,
Country Code,30.1,-106.5367819,North Mexico,Tap,1/1/01,-57.97299957,-7.77699995,,,
Country Code,30.1,-106.2867819,North Mexico,Tap,1/1/01,-57.79499817,-7.757999897,,,
Country Code,30.1,-106.0367819,North Mexico,Tap,1/1/01,-57.47399902,-7.72300005,,,
Country Code,30.1,-105.7867819,North Mexico,Tap,1/1/01,-57.05199814,-7.677999973,,,
Country Code,30.1,-105.5367819,North Mexico,Tap,1/1/01,-56.52299881,-7.625,,,
Country Code,30.1,-105.2867819,North Mexico,Tap,1/1/01,-55.93899918,-7.568999767,,,
Country Code,30.1,-105.0367819,North Mexico,Tap,1/1/01,-55.32899857,-7.514999866,,,
Country Code,30.1,-104.7867819,North Mexico,Tap,1/1/01,-54.7159996,-7.46600008,,,
Country Code,29.85,-115.5367819,North Mexico,Tap,1/1/01,-64.4960022,-8.215999603,,,
Country Code,29.85,-115.2867819,North Mexico,Tap,1/1/01,-64.60900116,-8.229999542,,,
Country Code,29.85,-115.0367819,North Mexico,Tap,1/1/01,-64.57299805,-8.232000351,,,
Country Code,29.85,-114.7867819,North Mexico,Tap,1/1/01,-64.38200378,-8.220000267,,,
